r,rep,SVD1,SVD2,NMF
43,7,0.8829809917457055,0.8834589042446012,0.8796018419090337
44,7,0.8829255037247044,0.8819383816919614,0.8791882539694587
45,7,0.8834594949541595,0.882931191462895,0.8799387760148809
46,7,0.8836968698920235,0.8819061625401013,0.8809360476055266
47,7,0.883040516683324,0.8825435877253158,0.8802447531437642
48,7,0.8834654272714397,0.8836042045705406,0.8813622238689878
49,7,0.8835534901607008,0.8829666954426517,0.880340257756953
50,7,0.8844257283568044,0.8851099871630916,0.8801754525911775
1,8,0.8886145437978908,0.8746152287255997,0.8885177320513066
2,8,0.8809414946143936,0.8707764820877362,0.8885231761955988
3,8,0.8753551798793431,0.8710529064845635,0.8882142567900843
4,8,0.8736526145134899,0.8684037429749571,0.8880847838401122
5,8,0.8738130415101089,0.8680255138819118,0.8835552565646927
6,8,0.8725745030632869,0.8668079688352762,0.88190118913276
7,8,0.8713007621536619,0.8660857916577055,0.8813084969537035
8,8,0.871561801848028,0.8656010108539334,0.8790948009698591
9,8,0.8712435426777332,0.8654870975152087,0.8797506491089161
10,8,0.8715490024030682,0.8652576868125591,0.8791591071341238
11,8,0.872230410414474,0.8652898236487976,0.8795860745554335
12,8,0.8718243938078227,0.8661262649368461,0.8768484857563187
13,8,0.8720308704038701,0.8666078453093564,0.8757681617529834
14,8,0.870812798878398,0.8656859351517753,0.874889597582011
15,8,0.8704756788840327,0.8663278675080859,0.8739606227297959
16,8,0.8706975321630736,0.8672772816580987,0.8746252647951057
17,8,0.8708490719721433,0.8684907010748777,0.8734544614160553
18,8,0.8718463609428101,0.8694134144253692,0.8721892576882209
19,8,0.8709341234101365,0.8710725360893466,0.8744334772080494
20,8,0.8699284875800396,0.8713994873341946,0.8729390113019658
21,8,0.8715620837877897,0.8712139962718479,0.8737430288099384
22,8,0.8720361944086248,0.8713244751403934,0.8733504491804236
23,8,0.8719365403261236,0.8718682655495441,0.87345088742423
24,8,0.8719137128855199,0.8713460417742228,0.8732075138000617
25,8,0.8731039041088833,0.8727022083489973,0.8722417260331038
26,8,0.8726090961830609,0.873459621089636,0.8715872597133903
27,8,0.8733468183041395,0.8752877821342036,0.8727173288587199
28,8,0.8722165544814536,0.873257787286378,0.8729348765291208
29,8,0.8725804118487297,0.8730621742697031,0.8712649811048346
30,8,0.8731068208730144,0.873661854401777,0.8727249408889989
31,8,0.8726156975319563,0.8731768364092228,0.8720522610187077
32,8,0.8739584988945851,0.8739508148783687,0.8719819980700159
33,8,0.873016034973973,0.873375576611609,0.8727407917441959
34,8,0.8726720955537778,0.8736409627189157,0.8718688084623718
35,8,0.8729946992123605,0.8737226967170142,0.8731028288846937
36,8,0.874130215201865,0.8743396861155405,0.8728510176553617
37,8,0.8742765273503512,0.8749988079579177,0.8735756778550157
38,8,0.8749112733678064,0.8741344870045512,0.8723414430179357
39,8,0.8753969394693891,0.8752617256116938,0.8725846442510264
40,8,0.8741685684307209,0.8743024313769839,0.8733051217530747
41,8,0.8752662343747203,0.8750092899763724,0.8725157290461034
42,8,0.8749005726551649,0.8754936675009469,0.8728912378901353
43,8,0.8764096935318915,0.8756422924094893,0.8739263581097744
44,8,0.8745041608251848,0.8759244480441003,0.8721319590659834
45,8,0.8749269025829336,0.8768401078093241,0.8734998072556208
46,8,0.8760017740601356,0.8756286594773187,0.8732650358132739
47,8,0.8757129123461695,0.8758273983483259,0.8735996618251609
48,8,0.8768145854207392,0.8758508014501437,0.8730140636530418
