index,lambda,eta,r,RMSE
444,0.012,0.01,3.0,0.9458631174507363
445,0.012,0.011,3.0,0.9902275390674747
446,0.012,0.012,3.0,0.9893584762976145
447,0.012,0.02,3.0,0.9625533124353942
448,0.013000000000000001,0.008,3.0,0.9680345523635411
449,0.013000000000000001,0.009,3.0,0.9506841909182804
450,0.013000000000000001,0.0099,3.0,0.9686561464949902
451,0.013000000000000001,0.01,3.0,0.9441548610567123
452,0.013000000000000001,0.011,3.0,0.9899088031543549
453,0.013000000000000001,0.012,3.0,1.0307199299629244
454,0.013000000000000001,0.02,3.0,0.990130480144438
455,0.014000000000000002,0.008,3.0,0.9477444431667995
456,0.014000000000000002,0.009,3.0,0.9935633500887734
457,0.014000000000000002,0.0099,3.0,1.0164328542062
458,0.014000000000000002,0.01,3.0,0.9458202246572778
459,0.014000000000000002,0.011,3.0,0.9732806621303071
460,0.014000000000000002,0.012,3.0,0.9393139663497161
461,0.014000000000000002,0.02,3.0,1.0173712466595048
462,0.015,0.008,3.0,0.9432018820207714
463,0.015,0.009,3.0,0.9420903005343912
464,0.015,0.0099,3.0,0.9395247868690602
465,0.015,0.01,3.0,1.0004655477122706
466,0.015,0.011,3.0,0.940567256239893
467,0.015,0.012,3.0,0.9578649122052881
468,0.015,0.02,3.0,0.9466937669981167
469,0.016,0.008,3.0,0.9689687016780025
470,0.016,0.009,3.0,0.9422700015259792
471,0.016,0.0099,3.0,0.9528220975000045
472,0.016,0.01,3.0,1.0141038946820713
473,0.016,0.011,3.0,0.938521273662108
474,0.016,0.012,3.0,1.0242489631708134
475,0.016,0.02,3.0,0.9699642853934998
476,0.017,0.008,3.0,0.9452780826264476
477,0.017,0.009,3.0,0.9724823764861459
478,0.017,0.0099,3.0,1.0325370336568318
479,0.017,0.01,3.0,0.9954685801323557
480,0.017,0.011,3.0,0.9550067545901714
481,0.017,0.012,3.0,0.9549158497745969
482,0.017,0.02,3.0,0.9483293038361347
483,0.018000000000000002,0.008,3.0,0.9750558251312127
484,0.018000000000000002,0.009,3.0,0.9671826479507974
485,0.018000000000000002,0.0099,3.0,1.0191821142056776
486,0.018000000000000002,0.01,3.0,0.9415357276674896
487,0.018000000000000002,0.011,3.0,0.9923458361011975
488,0.018000000000000002,0.012,3.0,1.0175893024666993
489,0.018000000000000002,0.02,3.0,0.946032944203198
490,0.019000000000000003,0.008,3.0,0.9447236900937859
491,0.019000000000000003,0.009,3.0,0.9366436739192575
492,0.019000000000000003,0.0099,3.0,0.9761232836762663
493,0.019000000000000003,0.01,3.0,0.9597005822586046
494,0.019000000000000003,0.011,3.0,0.965859364786899
495,0.019000000000000003,0.012,3.0,0.963521551787247
496,0.019000000000000003,0.02,3.0,0.9765710231020959
497,0.02,0.008,3.0,0.9433276646186665
498,0.02,0.009,3.0,0.9777897968890567
499,0.02,0.0099,3.0,0.9559081046096443
500,0.02,0.01,3.0,0.9354728479268771
501,0.02,0.011,3.0,0.9814999835646611
502,0.02,0.012,3.0,0.9433997555245992
503,0.02,0.02,3.0,0.9441341058350338
504,0.025,0.008,3.0,1.0023611348628985
505,0.025,0.009,3.0,0.9405003709368718
506,0.025,0.0099,3.0,0.9529032387599209
507,0.025,0.01,3.0,0.9393352030580647
508,0.025,0.011,3.0,0.9937244783587367
509,0.025,0.012,3.0,0.9893212167140938
510,0.025,0.02,3.0,0.9510774677832007
511,0.030000000000000002,0.008,3.0,0.9579421281784849
512,0.030000000000000002,0.009,3.0,0.9747611980194332
513,0.030000000000000002,0.0099,3.0,1.0250457932665002
514,0.030000000000000002,0.01,3.0,0.9529938646689959
515,0.030000000000000002,0.011,3.0,0.9934082061523183
516,0.030000000000000002,0.012,3.0,0.9387494034211117
517,0.030000000000000002,0.02,3.0,0.991720794285048
518,0.035,0.008,3.0,0.9484029883866952
519,0.035,0.009,3.0,0.9735421903645584
520,0.035,0.0099,3.0,0.9903122936446505
521,0.035,0.01,3.0,0.9505059207014673
522,0.035,0.011,3.0,0.9422052097787875
523,0.035,0.012,3.0,0.960914025185957
524,0.035,0.02,3.0,0.9713103297704689
525,0.04000000000000001,0.008,3.0,0.9439251417991039
526,0.04000000000000001,0.009,3.0,1.0175763090841057
527,0.04000000000000001,0.0099,3.0,0.9407446367403978
528,0.04000000000000001,0.01,3.0,0.9720140953179399
529,0.04000000000000001,0.011,3.0,0.9338250514249369
530,0.04000000000000001,0.012,3.0,0.9411372397222186
531,0.04000000000000001,0.02,3.0,0.953330214881554
532,0.045000000000000005,0.008,3.0,0.9780576973530307
533,0.045000000000000005,0.009,3.0,0.9631377968628304
534,0.045000000000000005,0.0099,3.0,0.9746567068405915
535,0.045000000000000005,0.01,3.0,0.9431664686944956
536,0.045000000000000005,0.011,3.0,1.0109818553461916
537,0.045000000000000005,0.012,3.0,0.9839442909433667
538,0.045000000000000005,0.02,3.0,0.9492684475411012
539,0.05,0.008,3.0,0.9565271022622328
540,0.05,0.009,3.0,0.9453608878655174
541,0.05,0.0099,3.0,1.0221568796043334
542,0.05,0.01,3.0,1.0065656079380028
543,0.05,0.011,3.0,0.962034430032877
544,0.05,0.012,3.0,0.9449950845138831
545,0.05,0.02,3.0,0.9473089409566492
546,0.001,0.008,4.0,0.9497504416059145
547,0.001,0.009,4.0,0.938433909165603
548,0.001,0.0099,4.0,1.0007084330181262
549,0.001,0.01,4.0,0.9529396551474177
550,0.001,0.011,4.0,0.9337403102549416
551,0.001,0.012,4.0,0.9421860660147886
552,0.001,0.02,4.0,0.9673075044224284
553,0.002,0.008,4.0,0.9613628089665129
554,0.002,0.009,4.0,0.9801874222157066
555,0.002,0.0099,4.0,0.9671889011287333
556,0.002,0.01,4.0,1.0431712193239153
557,0.002,0.011,4.0,1.0250088896523817
558,0.002,0.012,4.0,0.9471947817401813
559,0.002,0.02,4.0,0.9600387663989115
560,0.003,0.008,4.0,1.0092704727555903
561,0.003,0.009,4.0,0.9407251246235775
562,0.003,0.0099,4.0,1.0050519490187648
